name	run	timing
benchmark/tpch/sf50/q20.benchmark	5	3.203073
benchmark/tpch/sf50/q21.benchmark	1	8.043936
benchmark/tpch/sf50/q21.benchmark	2	10.396744
benchmark/tpch/sf50/q21.benchmark	3	10.274545
benchmark/tpch/sf50/q21.benchmark	4	9.023721
benchmark/tpch/sf50/q21.benchmark	5	10.940907
benchmark/tpch/sf50/q22.benchmark	1	1.750231
benchmark/tpch/sf50/q22.benchmark	2	1.869450
benchmark/tpch/sf50/q22.benchmark	3	1.785080
benchmark/tpch/sf50/q22.benchmark	4	1.748556
benchmark/tpch/sf50/q22.benchmark	5	1.768892
